,social,finance,health,Label asli,Label prediksi,Prediksi benar
9234,0,0,2,1,1,True
11965,2,1,1,2,2,True
4530,2,1,2,1,1,True
11732,2,1,0,0,0,True
8441,1,1,0,0,0,True
11107,0,0,1,2,2,True
7272,0,0,2,2,1,False
12532,2,0,1,2,2,True
1057,2,1,1,1,2,False
1707,1,1,2,1,1,True
1817,1,1,0,0,0,True
8152,1,1,1,2,2,True
10081,0,0,1,2,2,True
11493,0,1,2,2,1,False
10460,0,0,0,0,0,True
12347,1,1,0,0,0,True
8591,2,0,0,0,0,True
2464,1,1,1,1,2,False
5532,1,0,2,1,1,True
3324,2,1,2,1,1,True
10380,2,1,2,1,1,True
11049,1,1,2,2,1,False
3659,2,0,0,0,0,True
9827,1,1,0,0,0,True
11528,1,0,0,0,0,True
4221,0,1,2,2,1,False
8551,0,0,1,2,2,True
6887,0,1,0,0,0,True
8875,0,0,1,1,2,False
7654,2,0,1,2,2,True
8696,0,0,0,0,0,True
9304,1,1,1,2,2,True
6297,1,1,2,1,1,True
2290,2,0,1,1,2,False
6400,0,1,1,2,2,True
332,1,0,0,0,0,True
3717,0,1,2,2,1,False
2381,2,0,0,0,0,True
7732,0,1,1,2,2,True
4412,0,0,0,0,0,True
443,0,1,0,0,0,True
4256,1,0,0,0,0,True
10386,0,0,2,1,1,True
2315,0,1,0,0,0,True
10643,2,0,0,0,0,True
2675,0,1,0,0,0,True
11902,2,0,1,2,2,True
4966,1,1,1,1,2,False
8401,2,1,1,2,2,True
11463,1,1,2,2,1,False
7847,1,1,0,0,0,True
5937,1,1,2,1,1,True
3672,0,0,2,1,1,True
8225,1,1,0,0,0,True
8266,2,0,1,2,2,True
788,2,1,0,0,0,True
11763,0,1,2,2,1,False
2886,1,0,2,1,1,True
3806,1,0,0,0,0,True
2812,2,0,1,1,2,False
3452,2,1,0,0,0,True
12882,2,1,2,2,1,False
9338,2,1,0,0,0,True
10886,2,1,0,0,0,True
1215,0,1,2,1,1,True
8095,2,1,1,2,2,True
12324,2,1,2,1,1,True
3261,2,0,2,1,1,True
7242,1,0,2,2,1,False
1474,1,1,1,1,2,False
1157,2,0,0,0,0,True
250,1,1,1,1,2,False
8237,0,1,0,0,0,True
2696,2,1,0,0,0,True
5443,1,0,1,1,2,False
12827,0,1,0,0,0,True
3847,2,1,1,2,2,True
10334,0,0,0,0,0,True
1789,1,0,1,1,2,False
4935,2,0,2,1,1,True
3532,2,0,1,2,2,True
2424,2,1,2,1,1,True
10625,2,0,0,0,0,True
283,2,1,1,1,2,False
2787,1,1,2,2,1,False
10447,1,0,1,2,2,True
12502,0,1,1,2,2,True
3890,0,0,0,0,0,True
1120,2,0,1,1,2,False
5005,0,0,1,1,2,False
8681,2,0,0,0,0,True
2546,1,0,0,0,0,True
5531,2,0,0,0,0,True
5971,2,1,1,1,2,False
2512,0,1,1,1,2,False
2516,2,1,0,0,0,True
2374,1,1,1,1,2,False
6882,1,0,2,2,1,False
4465,0,0,1,1,2,False
5487,1,1,2,1,1,True
4245,1,1,2,2,1,False
11363,2,0,0,0,0,True
6293,0,1,0,0,0,True
8887,2,1,1,1,2,False
3776,2,1,0,0,0,True
11684,0,0,0,0,0,True
3392,1,0,0,0,0,True
784,0,1,1,1,2,False
10268,1,0,0,0,0,True
5638,2,0,1,1,2,False
4053,2,0,2,1,1,True
8559,0,1,2,2,1,False
1144,0,1,1,1,2,False
10932,1,0,2,2,1,False
6177,2,0,2,1,1,True
11853,0,1,2,2,1,False
12900,2,1,2,2,1,False
11604,2,1,2,2,1,False
1507,2,1,1,1,2,False
10607,2,0,0,0,0,True
12597,1,1,2,2,1,False
2878,1,1,1,1,2,False
9532,0,1,1,1,2,False
3404,0,0,0,0,0,True
2645,1,1,0,0,0,True
4309,1,0,1,2,2,True
10688,2,1,0,0,0,True
1106,1,0,0,0,0,True
7717,2,1,1,2,2,True
5275,0,0,1,1,2,False
429,1,1,2,1,1,True
3915,0,1,2,1,1,True
1479,2,0,2,1,1,True
2979,0,1,2,1,1,True
3215,0,1,0,0,0,True
